Code IRIS;Nom IRIS;Code Commune;Nom Commune;Taux de motorisation IRIS;Taux de motorisation Commune;Taux de motorisation Département
516110000;Vert-Toulon;51611;Vert-Toulon;0,946565;0,946565;0,815598
516120000;Vertus;51612;Vertus;0,88827;0,88827;0,815598
516130000;Verzenay;51613;Verzenay;0,918719;0,918719;0,815598
516140000;Verzy;51614;Verzy;0,920455;0,920455;0,815598
516160000;Vésigneul-sur-Marne;51616;Vésigneul-sur-Marne;0,968085;0,968085;0,815598
516170000;La Veuve;51617;La Veuve;0,96087;0,96087;0,815598
516180000;Le Vézier;51618;Le Vézier;0,933333;0,933333;0,815598
516190000;Le Vieil-Dampierre;51619;Le Vieil-Dampierre;0,886792;0,886792;0,815598
516200000;Vienne-la-Ville;51620;Vienne-la-Ville;0,873563;0,873563;0,815598
516210000;Vienne-le-Château;51621;Vienne-le-Château;0,890476;0,890476;0,815598
516220000;Ville-Dommange;51622;Ville-Dommange;0,961749;0,961749;0,815598
516230000;Ville-en-Selve;51623;Ville-en-Selve;1;1;0,815598
516240000;Ville-en-Tardenois;51624;Ville-en-Tardenois;0,958678;0,958678;0,815598
516250000;Villeneuve-la-Lionne;51625;Villeneuve-la-Lionne;0,966667;0,966667;0,815598
516260000;La Villeneuve-lès-Charleville;51626;La Villeneuve-lès-Charleville;0,934783;0,934783;0,815598
516270000;Villeneuve-Renneville-Chevigny;51627;Villeneuve-Renneville-Chevigny;0,96;0,96;0,815598
516280000;Villeneuve-Saint-Vistre-et-Villevotte;51628;Villeneuve-Saint-Vistre-et-Villevotte;0,924528;0,924528;0,815598
516290000;Villers-Allerand;51629;Villers-Allerand;0,944079;0,944079;0,815598
516300000;Villers-aux-Bois;51630;Villers-aux-Bois;0,960938;0,960938;0,815598
516310000;Villers-aux-Noeuds;51631;Villers-aux-Noeuds;0,911765;0,911765;0,815598
516320000;Villers-en-Argonne;51632;Villers-en-Argonne;0,867257;0,867257;0,815598
516100000;Verrières;51610;Verrières;0,9375;0,9375;0,815598
516090000;Verneuil;51609;Verneuil;0,9;0,9;0,815598
516080000;Vernancourt;51608;Vernancourt;0,894737;0,894737;0,815598
515950000;Vatry;51595;Vatry;0,956522;0,956522;0,815598
515850000;Troissy;51585;Troissy;0,88674;0,88674;0,815598
515860000;Unchair;51586;Unchair;0,941176;0,941176;0,815598
515870000;Vadenay;51587;Vadenay;0,958763;0,958763;0,815598
515880000;Valmy;51588;Valmy;0,942623;0,942623;0,815598
515890000;Vanault-le-Châtel;51589;Vanault-le-Châtel;0,924242;0,924242;0,815598
515900000;Vanault-les-Dames;51590;Vanault-les-Dames;0,789773;0,789773;0,815598
515910000;Vandeuil;51591;Vandeuil;0,929412;0,929412;0,815598
515920000;Vandières;51592;Vandières;0,956204;0,956204;0,815598
515940000;Vassimont-et-Chapelaine;51594;Vassimont-et-Chapelaine;0,833333;0,833333;0,815598
515960000;Vauchamps;51596;Vauchamps;0,958904;0,958904;0,815598
516070000;Verdon;51607;Verdon;0,951807;0,951807;0,815598
515970000;Vauciennes;51597;Vauciennes;0,962406;0,962406;0,815598
515980000;Vauclerc;51598;Vauclerc;0,971014;0,971014;0,815598
515990000;Vaudemange;51599;Vaudemange;0,956522;0,956522;0,815598
516000000;Vaudesincourt;51600;Vaudesincourt;0,945946;0,945946;0,815598
516010000;Vavray-le-Grand;51601;Vavray-le-Grand;0,934211;0,934211;0,815598
516020000;Vavray-le-Petit;51602;Vavray-le-Petit;0,96;0,96;0,815598
516030000;Vélye;51603;Vélye;0,967213;0,967213;0,815598
516040000;Ventelay;51604;Ventelay;0,875;0,875;0,815598
516050000;Venteuil;51605;Venteuil;0,927419;0,927419;0,815598
516330000;Villers-Franqueux;51633;Villers-Franqueux;0,957265;0,957265;0,815598
516350000;Villers-le-Sec;51635;Villers-le-Sec;0,947368;0,947368;0,815598
520160000;Arbot;52016;Arbot;0,909091;0,909091;0,840154
516360000;Villers-Marmery;51636;Villers-Marmery;0,880342;0,880342;0,815598
516560000;Vraux;51656;Vraux;0,938889;0,938889;0,815598
516570000;Vrigny;51657;Vrigny;0,941176;0,941176;0,815598
516580000;Vroil;51658;Vroil;0,74;0,74;0,815598
516590000;Wargemoulin-Hurlus;51659;Wargemoulin-Hurlus;0,904762;0,904762;0,815598
516600000;Warmeriville;51660;Warmeriville;0,939704;0,939704;0,815598
516620000;Witry-lès-Reims;51662;Witry-lès-Reims;0,940231;0,940231;0,815598
516630000;Magenta;51663;Magenta;0,810934;0,810934;0,815598
520010000;Ageville;52001;Ageville;0,968;0,968;0,840154
520020000;Aigremont;52002;Aigremont;0,818182;0,818182;0,840154
520030000;Aillianville;52003;Aillianville;0,904762;0,904762;0,840154
520040000;Aingoulaincourt;52004;Aingoulaincourt;1;1;0,840154
520050000;Aizanville;52005;Aizanville;0,9375;0,9375;0,840154
520060000;Allichamps;52006;Allichamps;0,935897;0,935897;0,840154
520070000;Ambonville;52007;Ambonville;0,857143;0,857143;0,840154
520080000;Andelot-Blancheville;52008;Andelot-Blancheville;0,821782;0,821782;0,840154
520090000;Andilly-en-Bassigny;52009;Andilly-en-Bassigny;0,830189;0,830189;0,840154
520110000;Annéville-la-Prairie;52011;Annéville-la-Prairie;1;1;0,840154
520120000;Annonville;52012;Annonville;1;1;0,840154
520130000;Anrosey;52013;Anrosey;0,868852;0,868852;0,840154
520140000;Aprey;52014;Aprey;0,950617;0,950617;0,840154
520150000;Arbigny-sous-Varennes;52015;Arbigny-sous-Varennes;0,837209;0,837209;0,840154
516550000;Vouzy;51655;Vouzy;0,95614;0,95614;0,815598
516540000;Vouillers;51654;Vouillers;0,977273;0,977273;0,815598
516520000;Vouarces;51652;Vouarces;0,935484;0,935484;0,815598
516460000;Virginy;51646;Virginy;0,897436;0,897436;0,815598
516370000;Villers-sous-Châtillon;51637;Villers-sous-Châtillon;0,908046;0,908046;0,815598
516380000;Villeseneux;51638;Villeseneux;0,941176;0,941176;0,815598
516390000;La Ville-sous-Orbais;51639;La Ville-sous-Orbais;1;1;0,815598
516400000;Ville-sur-Tourbe;51640;Ville-sur-Tourbe;0,85567;0,85567;0,815598
516410000;Villevenard;51641;Villevenard;0,958333;0,958333;0,815598
516420000;Villiers-aux-Corneilles;51642;Villiers-aux-Corneilles;0,911111;0,911111;0,815598
516430000;Vinay;51643;Vinay;0,955285;0,955285;0,815598
516440000;Vincelles;51644;Vincelles;0,89781;0,89781;0,815598
010020000;L'Abergement-de-Varey;01002;L'Abergement-de-Varey;0,950495;0,950495;0,903721
516470000;Vitry-en-Perthois;51647;Vitry-en-Perthois;0,927273;0,927273;0,815598
516510000;Voipreux;51651;Voipreux;0,938776;0,938776;0,815598
516480000;Vitry-la-Ville;51648;Vitry-la-Ville;0,984496;0,984496;0,815598
516490101;Vitry-le-François / Hamois;51649;Vitry-le-François;0,648846;0,702754;0,815598
516490102;Vitry-le-François / Grand Parc;51649;Vitry-le-François;0,836554;0,702754;0,815598
516490201;Vitry-le-François / Centre;51649;Vitry-le-François;0,753763;0,702754;0,815598
516490202;Vitry-le-François / Fauvarge;51649;Vitry-le-François;0,593798;0,702754;0,815598
516490301;Vitry-le-François / Rome;51649;Vitry-le-François;0,616577;0,702754;0,815598
516490302;Vitry-le-François / Desert;51649;Vitry-le-François;0,721933;0,702754;0,815598
516490303;Vitry-le-François / Citadelle;51649;Vitry-le-François;0,852161;0,702754;0,815598
516500000;Voilemont;51650;Voilemont;1;1;0,815598
521270000;Choiseul;52127;Choiseul;0,85;0,85;0,840154
521280000;Cirey-lès-Mareilles;52128;Cirey-lès-Mareilles;0,903846;0,903846;0,840154
521290000;Cirey-sur-Blaise;52129;Cirey-sur-Blaise;0,956522;0,956522;0,840154
523040000;Malaincourt-sur-Meuse;52304;Malaincourt-sur-Meuse;0,904762;0,904762;0,840154
522780000;Lavilleneuve-au-Roi;52278;Lavilleneuve-au-Roi;0,974359;0,974359;0,840154
522800000;Lecey;52280;Lecey;0,93617;0,93617;0,840154
522820000;Leffonds;52282;Leffonds;0,94964;0,94964;0,840154
522840000;Leschères-sur-le-Blaiseron;52284;Leschères-sur-le-Blaiseron;0,902439;0,902439;0,840154
522850000;Leuchey;52285;Leuchey;0,935484;0,935484;0,840154
522860000;Leurville;52286;Leurville;0,789474;0,789474;0,840154
522870000;Levécourt;52287;Levécourt;0,891304;0,891304;0,840154
522880000;Lezéville;52288;Lezéville;0,791667;0,791667;0,840154
522890000;Liffol-le-Petit;52289;Liffol-le-Petit;0,824818;0,824818;0,840154
522900000;Les Loges;52290;Les Loges;0,929825;0,929825;0,840154
522910000;Longchamp;52291;Longchamp;0,935484;0,935484;0,840154
522920000;Longeau-Percey;52292;Longeau-Percey;0,934641;0,934641;0,840154
522930000;Longeville-sur-la-Laines;52293;Longeville-sur-la-Laines;0,965318;0,965318;0,840154
522940000;Louvemont;52294;Louvemont;0,932203;0,932203;0,840154
522950000;Louvières;52295;Louvières;0,877551;0,877551;0,840154
522960000;Louze;52296;Louze;0,948148;0,948148;0,840154
522970000;Luzy-sur-Marne;52297;Luzy-sur-Marne;0,913793;0,913793;0,840154
522980000;Maâtz;52298;Maâtz;0,85;0,85;0,840154
523000000;Magneux;52300;Magneux;0,957143;0,957143;0,840154
523010000;Maisoncelles;52301;Maisoncelles;0,888889;0,888889;0,840154
523020000;Maizières;52302;Maizières;0,906667;0,906667;0,840154
522770000;Lavilleneuve;52277;Lavilleneuve;0,866667;0,866667;0,840154
522760000;Laville-aux-Bois;52276;Laville-aux-Bois;0,955556;0,955556;0,840154
522750000;Lavernoy;52275;Lavernoy;0,894737;0,894737;0,840154
522650000;Bayard-sur-Marne;52265;Bayard-sur-Marne;0,891379;0,891379;0,840154
522510000;Jonchery;52251;Jonchery;0,971354;0,971354;0,840154
522530000;Juzennecourt;52253;Juzennecourt;0,963855;0,963855;0,840154
522540000;Lachapelle-en-Blaisy;52254;Lachapelle-en-Blaisy;0,902439;0,902439;0,840154
522560000;Lafauche;52256;Lafauche;0,948718;0,948718;0,840154
522570000;Laferté-sur-Amance;52257;Laferté-sur-Amance;0,877193;0,877193;0,840154
522580000;Laferté-sur-Aube;52258;Laferté-sur-Aube;0,886792;0,886792;0,840154
522600000;Lamancine;52260;Lamancine;0,921569;0,921569;0,840154
522620000;Lamothe-en-Blaisy;52262;Lamothe-en-Blaisy;0,875;0,875;0,840154
522640000;Laneuvelle;52264;Laneuvelle;0,857143;0,857143;0,840154
522660000;Laneuville-à-Rémy;52266;Laneuville-à-Rémy;0,928571;0,928571;0,840154
522740000;Latrecey-Ormoy-sur-Aube;52274;Latrecey-Ormoy-sur-Aube;0,895522;0,895522;0,840154
